SerialNumber,Site,TestResult,hbin#,hbin,sbin#,sbin,startTime,stopTime,testTime(s),DeviceName,HandlerID,TesterID,TestPGM,LotID,ProcessID,OperatorID
7252455FC1X1VWXAJ,15.0,PASS,1.0,PASS,1.0,PASS,2022-11-13 2:33,2022-11-13 2:34,52.11,84DNWP062353LA-S1,TW192,LP83,SCK_EKBG_DVT_FT_TC0P0P3P4_F12_V06,H2453BQF.00,360.0,14213650.0
7252455FC2K1VWXAT,12.0,PASS,1.0,PASS,1.0,PASS,2022-11-13 2:33,2022-11-13 2:34,51.75,84DNWP062353LA-S1,TW192,LP83,SCK_EKBG_DVT_FT_TC0P0P3P4_F12_V06,H2453BQF.00,360.0,14213650.0
